"date","CNPJ_FUNDO","VL_QUOTA","ibov_close","usdbrl_close","irf_m1p","irf_m","ima_b5","ima_b5p","ima_b","ima_c","ima_s","ima_geral_ex_c","ima_geral","sp500_close"
2020-05-18,"08.279.304/0001-41",4.1265825,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"04.148.140/0001-62",38.65977,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"00.840.011/0001-80",30.7621663,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"08.669.394/0001-87",3.144116655,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"04.220.338/0001-00",80.27601,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"00.856.755/0001-92",3154.4709432,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"08.915.927/0001-63",3.0728457,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"04.237.578/0001-17",5.9261218,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"01.063.897/0001-65",102.252767,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"08.935.364/0001-75",158.118104,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"04.237.583/0001-20",7.8778576,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"01.094.797/0001-04",241.1195834,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"08.980.715/0001-60",4.087842,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"04.288.966/0001-27",3.70996,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"01.129.004/0001-37",260.148441,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"09.093.757/0001-41",2977.28511,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"04.299.610/0001-99",8.8820734,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"01.165.781/0001-37",18.932622,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"09.120.774/0001-20",5.1875468,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"04.385.278/0001-85",115.3287748,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
